Parcel_ID,O_zone,D_zone,DepotNumber,Postcode,VEHTYPE,household_id,O_zone_X,O_zone_Y,D_zone_X,D_zone_Y,Postcode_Ozone,Postcode_Dzone,Latest_Order
1,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
2,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
3,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
4,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
5,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
6,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
7,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
8,9,1,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
9,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
10,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
11,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
12,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
13,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
14,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
15,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
16,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
17,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
18,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
19,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
20,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
21,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
22,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
23,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
24,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
25,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
26,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
27,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
28,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
29,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
30,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
31,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
32,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
33,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
34,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
35,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
36,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
37,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
38,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
39,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
40,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
41,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
42,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
43,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
44,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
45,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
46,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
47,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
48,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
49,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
50,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
51,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
52,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
53,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
54,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
55,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
56,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
57,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
58,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
59,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
60,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
61,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
62,9,2,1,0,7,,25497170.17,6689257.497,25495799.79,6673325.642,01530,00100,ADV
63,9,3,1,0,7,,25497170.17,6689257.497,25496064.42,6669867.998,01530,00150,ADV
64,9,3,1,0,7,,25497170.17,6689257.497,25496064.42,6669867.998,01530,00150,ADV
65,9,3,1,0,7,,25497170.17,6689257.497,25496064.42,6669867.998,01530,00150,ADV
66,9,3,1,0,7,,25497170.17,6689257.497,25496064.42,6669867.998,01530,00150,ADV
67,9,3,1,0,7,,25497170.17,6689257.497,25496064.42,6669867.998,01530,00150,ADV
68,9,3,1,0,7,,25497170.17,6689257.497,25496064.42,6669867.998,01530,00150,ADV
